index,type,title,director,cast,country,release_year,rating,duration,listed_in,description,n_countries
8444,1,the only mother to you all,wenn v. deramas,"ai ai de las alas, shaina magdayao, carlo aquino, alwyn uytingco, eugene domingo, deejay durano, serena dalrymple, jiro manio, yuki kadooka, cherry pie picache, gloria diaz",philippines,2008,tv pg,106,"comedies, international movies","raising her large family alone after her husband s death, ina searches for work and finally lands the most unlikely job president of the philippines.",1
8445,1,the other guys,adam mckay,"will ferrell, mark wahlberg, eva mendes, michael keaton, steve coogan, ray stevenson, samuel l. jackson, dwayne johnson, lindsay sloane, natalie zea",united states,2010,pg 13,108,"action adventure, comedies",new york cops allen and terry toil in obscurity as lowly desk jockeys until a big break finally gives them a chance to tackle real police work.,2
8446,1,the parole officer,john duigan,"steve coogan, emma gilmour, susan jane tanner, iain mitchell, james smith, om puri, steven waddington, ben miller, lena headey, jenny agutter",united kingdom,2001,r,94,"action adventure, comedies","after witnessing a murder, simon garden is framed and the only evidence that proves his innocence is a videotape locked inside a bank vault.",2
8448,1,the peacemaker,mimi leder,"george clooney, nicole kidman, marcel iures, aleksandr baluev, rene medvesek, gary werntz, randall batinkoff, jim haynie, alexander strobele, holt mccallany",united states,1997,r,124,action adventure,"after terrorists trigger a nuclear blast in russia, a u.s. special forces intelligence agent and a nuclear weapons expert come to the rescue.",2
8449,1,the pelican brief,alan j. pakula,"julia roberts, denzel washington, sam shepard, john heard, tony goldwyn, james sikking, william atherton, robert culp, stanley tucci, john lithgow, hume cronyn",united states,1993,pg 13,141,"dramas, thrillers","when law student darby shaw theorizes about the assassinations of two supreme court justices, she is put in danger and turns to a reporter for help.",2
8450,1,the perfect day,jean pierre devillers,nan,nan,2018,tv 14,93,"documentaries, international movies, sports movies","french soccer fans, celebrities and athletes retrace the exhilarating events of july 12, 1998, as france earned a historic win in the world cup final.",1
8451,1,the perks of being a wallflower,stephen chbosky,"logan lerman, emma watson, ezra miller, mae whitman, paul rudd, nina dobrev, johnny simmons, dylan mcdermott, kate walsh, joan cusack, melanie lynskey",united states,2012,pg 13,103,"comedies, dramas",a shy freshman struggling with depression deals with his best friend s suicide and his first love in this engaging coming of age tale.,2
8452,1,the phantom of the opera,joel schumacher,"gerard butler, emmy rossum, patrick wilson, miranda richardson, minnie driver, ciaran hinds, simon callow, victor mcguire, jennifer ellison","united kingdom, united states",2004,pg 13,141,"dramas, music musicals, romantic movies","in 1870, a disfigured recluse roams beneath a parisian opera house and takes under his wing a young soprano, with whom a love triangle develops.",3
8453,1,the physician,philipp stolzl,"tom payne, ben kingsley, stellan skarsgard, olivier martinez, emma rigby, elyas m barek, fahri yardim, makram khoury, michael marcus",germany,2013,r,155,"action adventure, dramas, international movies",a medical apprentice in 11th century persia disguises himself as a jew to study at a school that does not admit christians.,1
8456,1,the pirates of somalia,bryan buckley,"evan peters, barkhad abdi, melanie griffith, al pacino, philip ettinger, sabrina hassan abdulle, kiana madani, abdi sidow farah, mohamed barre, armaan haggio","somalia, kenya, sudan, south africa, united states",2017,r,118,dramas,an aspiring journalist travels to somalia in hopes of making a name for himself by covering dangerous pirates and hijackers.,3
8458,1,the place beyond the pines,derek cianfrance,"ryan gosling, bradley cooper, eva mendes, ray liotta, ben mendelsohn, rose byrne, mahershala ali, bruce greenwood, harris yulin, olga merediz",united states,2012,r,140,"dramas, independent movies",a violent confrontation between a motorcycle riding bank robber and a rookie cop spirals into a tense generational feud.,2
8459,1,the plan,keerthi,"anant nag, koustubh jayakumar, hemanth, shreeram, jay, sanath, pramod shetty, harish roy",india,2015,tv ma,124,"dramas, international movies, thrillers","after being sent to a remote prison, three young men suffer under the watchful eye of their jailer and make a meticulous plan to escape.",1
8460,1,the player,ahmad el badri,"ramez galal, emy samir ghanim, edward fouad, hassan hosny, yousef fawzy, samar gaber, ragaa al geddawy, maha abou ouf, mai el kady",egypt,2012,tv ma,110,"comedies, international movies","to save his fathers company from bankruptcy, a rich, spoiled playboy is forced to wed a no nonsense woman, who s just as unhappy to be marrying him.",1
8462,1,the power of grayskull the definitive history of he man and the masters of the universe,"randall lobb, robert mccallum",nan,"canada, united states",2017,tv 14,96,documentaries,"this colorful documentary explores the origins and impact of he man, a character whose power stretched well beyond a toy line and children s tv show.",3
8463,1,the president s barber,chan sang lim,"kang ho song, so ri moon, jae eung lee, yeong jin jo, byung ho son, yong soo park, seung soo ryu, ju sang yun, gyu su jeong, dal su oh",south korea,2004,tv ma,116,"comedies, dramas, international movies","the personal barber to the president, as well as his wife and only son, get tangled in the political chaos that gripped south korea in the late 1900s.",2
8464,1,the prince,brian a. miller,"jason patric, bruce willis, john cusack, rain, jessica lowndes, johnathon schaech, gia mantegna, 50 cent","united states, united kingdom",2014,r,91,action adventure,a former mafia hit man living quietly as a mechanic veers back into his old world after his daughter is abducted and faces an old foe in new orleans.,3
8467,1,the prison,na hyeon,"suk kyu han, rae won kim, kyeong yeong lee, woong in jeong, jae yun jo, sung rok shin, kim sung kyun, kwak min ho",south korea,2017,tv ma,125,"action adventure, dramas, international movies",a cop turned convict discovers a crime syndicate inside a prison lorded over by an inmate crime boss and joins in on their nightly heists.,2
8468,1,the pursuit,john papola,arthur brooks,united states,2019,tv 14,76,documentaries,"in a time of turbulence for the free market system, one economist explores how it has lifted billions out of poverty, and might just save us all.",2
8469,1,the pursuit of happyness,gabriele muccino,"will smith, jaden smith, thandie newton, brian howe, james karen, dan castellaneta, kurt fuller, takayo fischer",united states,2006,pg 13,117,dramas,"when chris and his son are evicted, they face trying times as a desperate chris accepts an unpaid internship at a stock brokerage firm.",2
8470,1,the push,"grant korgan, brian niles",grant korgan,united states,2018,tv ma,90,"documentaries, sports movies","after a snowmobile accident paralyzed him, grant korgan became the first athlete with a spinal cord injury to push himself to the south pole.",2
8471,0,the pyramid code,nan,sally jennings,canada,2009,tv pg,1,"docuseries, science nature tv",how was the scientific understanding of the ancients so advanced a team of experts answers this and other questions in this fascinating series.,1
8472,1,the rainbow troops,riri riza,"cut mini theo, ikranagara, lukman sardi, ario bayu, tora sudiro",indonesia,2008,tv pg,119,"children family movies, dramas, international movies",two indonesian teachers embrace an inspiring crop of gifted young students who ve come to study at their crumbling islamic primary school.,1
8473,1,the rainmaker,francis ford coppola,"matt damon, danny devito, claire danes, jon voight, mary kay place, dean stockwell, teresa wright, virginia madsen, mickey rourke, andrew shue","united states, germany",1997,pg 13,136,"dramas, thrillers",a young attorney and a scrappy paralegal work to help the parents of a terminally ill boy in their suit against an insurance company.,3
8474,0,the rap game,nan,jermaine dupri,united states,2016,tv 14,1,reality tv,young lyricists between the ages of 12 and 16 compete for a chance to sign to jermaine dupri s label while being mentored by hip hop and r b s finest.,2
8475,1,the rat race,miriam chandy menacherry,nan,india,2010,tv pg,52,"documentaries, international movies","examine the troublesome coexistence of humans and rodents in mumbai, where the byproducts of a big economy have led to a thriving rat population.",1
8476,0,the real football factories,nan,danny dyer,united kingdom,2006,tv ma,1,"british tv shows, docuseries, international tv shows",examine the troubling history of football hooliganism and hear from real hooligans about their bitter rivalries and rowdiest brawls.,2
8477,1,the real miyagi,kevin derek,fumio demura,"united states, canada, japan, panama",2015,tv pg,81,"documentaries, sports movies","a look at the life of karate master fumio demura shows how he spread the discipline in the west, winning countless devotees and influencing hollywood.",3
8478,1,the rebound,shaina allen,"orlando carrillo, mario moran, jeremie phenom thomas",united states,2016,tv ma,77,"documentaries, sports movies","this documentary follows three players on the miami heat wheels, who face long odds on the way to the national wheelchair basketball championship.",2
8479,1,the redeemed and the dominant fittest on earth,"heber cannon, mariah moore, marston sawyers",nan,united states,2017,tv 14,120,"documentaries, sports movies","questions about endurance, doping and overall toughness surround a group of elite athletes as they compete fiercely at the reebok crossfit games.",2
8480,1,the rehearsal,alison maclean,"james rolleston, kerry fox, ella edwards, alice englert",new zealand,2016,tv ma,102,"dramas, independent movies, international movies",a drama student is torn between creative possibility and ethical boundaries when his girlfriend s family gets caught up in a sex scandal.,2
8481,1,the republic of imbaba,ahmed al badry,"bassem samra, ola ghanem, ahmad wafiq, feryal youssef, ayman kandil, inas ezz el din, mohamed farouk",nan,2015,tv 14,90,"dramas, international movies","living on the edges of cairos embabah neighborhood, several residents seek to better their circumstances following the january 25 revolution.",1
8482,0,the returned,nan,"anne cosigny, frederic pierrot, clotilde hesme, celine sallette, samir guesmi, guillaume gouix, jean francois sivadier, alix poisson, jenna thiam, gregory gadebois, pierre perrier, yara pilartz, swann nambotin, ana girardot, brune martin, bertrand constant, matila malliarakis, constance dolle, laetitia de fombelle, simon ehrlacher, vincent trouilleux, jerome kircher, guillaume marquet, alma arnal, julien bourdel, francois briault, gilles chabrier, aksel ustun, alain blazquez",france,2015,tv ma,1,"international tv shows, tv dramas, tv horror","on returning home and finding they re believed to be dead, a collection of near strangers from the same village try to find a reason for their plight.",1
8483,1,the rezort,steve barker,"dougray scott, jessica de gouw, martin mccann, jassa ahluwalia, elen rhys, claire goose","united kingdom, spain, belgium",2016,tv ma,90,"horror movies, international movies","after a global zombie war, the living dead are confined to a luxury island resort and hunted by tourists on safari until the security system fails.",3
8484,1,the rift the dark side of the moon,dejan zecevic,"ken foree, katarina cas, dragan micanovic, monte markham, denis muric, miroljub leso, sonja vukicevic, ratko turcinovic, mick garris","serbia, south korea, slovenia",2016,tv ma,92,"horror movies, independent movies, sci fi fantasy","when a team of special agents is sent to recover the wreckage of a downed satellite in serbia, their mission takes a horrifying turn.",3
8485,1,the right one,hadi el bagoury,"hani salama, basma ahmad, rania yousef, kinda allouch, yasmin raeis, amr youssef, zizi el badrawy",egypt,2011,tv 14,93,"dramas, international movies, romantic movies","under pressure to marry, a rich playboy is conflicted between four women who each possess a different quality he desires in his ideal wife.",1
8486,1,the ring,gore verbinski,"naomi watts, martin henderson, david dorfman, brian cox, jane alexander, lindsay frost, amber tamblyn, rachael bella, daveigh chase, shannon cochran",united states,2002,pg 13,116,"horror movies, thrillers",a reporter watches a video that supposedly sets in motion the viewer s death in seven days. can she unravel the mystery before her own time is up,2
8487,1,the riot club,lone scherfig,"sam claflin, max irons, douglas booth, jessica brown findlay, holliday grainger, natalie dormer, olly alexander, matthew beard, gordon brown, jack farthing, freddie fox",united kingdom,2014,r,107,"dramas, international movies","after being drafted into an elite secret society, a pair of students at oxford university see the group s extreme debauchery spiral out of control.",2
8489,1,the river wild,curtis hanson,"meryl streep, kevin bacon, david strathairn, joseph mazzello, john c. reilly, benjamin bratt, elizabeth hoffman, william lucking, diane delano",united states,1994,pg 13,111,action adventure,"a turbulent vacation turns deadly when a fugitive and his crew kidnap a river rafting guide and her family, forcing them down the dangerous river.",2
8490,0,the road to calvary,nan,"anna chipovskaya, yulia snigir, leonid bichevin, pavel trubiner",russia,2017,tv 14,1,"international tv shows, tv dramas","swept up in political unrest during world war i, two sisters in st. petersburg cope with turbulent romances as russian history is made around them.",1
8491,1,the rolling stones ole ole ole a trip across latin america,paul dugdale,"mick jagger, keith richards, ronnie wood, charlie watts",united kingdom,2016,tv ma,101,"documentaries, international movies, music musicals","follow the rolling stones as the iconic group breaks new ground in latin america, wrapping a 10 city tour as the first ever rock band to play in cuba.",2
8492,1,the roommate,christian e. christiansen,"leighton meester, minka kelly, cam gigandet, aly michalka, danneel ackles, frances fisher, tomas arana, billy zane, nina dobrev, matt lanter, kat graham",united states,2011,pg 13,91,thrillers,"while acclimating to campus life, college freshman sara begins to realize that her new roommate, rebecca, is becoming obsessed with her.",2
8493,1,the rover,david michod,"guy pearce, robert pattinson, scoot mcnairy, david field, anthony hayes, gillian jones, susan prior, nash edgerton","australia, united states",2014,r,103,"international movies, thrillers","set in a chaotic future, this outback saga follows loner eric s brutal ordeal when a criminal gang takes his car and leaves him nowhere with nothing.",3
8494,1,the rum diary,bruce robinson,"johnny depp, aaron eckhart, michael rispoli, amber heard, richard jenkins, giovanni ribisi, amaury nolasco, marshall bell, bill smitrovich","united states, united kingdom",2011,r,120,"comedies, dramas",johnny depp stars in this adaptation of hunter s. thompson s novel about a boozy journalist who moves to puerto rico and falls for a taken woman.,3
8495,1,the runner,austin stark,"nicolas cage, sarah paulson, connie nielsen, wendell pierce, bryan batt, peter fonda, dana gourrier",united states,2015,r,90,"dramas, independent movies",a new orleans politician finds his idealistic plans for rebuilding after a toxic oil spill unraveling thanks to a sex scandal.,2
8496,1,the salvation,kristian levring,"mads mikkelsen, eva green, jeffrey dean morgan, eric cantona, mikael persbrandt, douglas henshall, michael raymond james, jonathan pryce, alexander arnold, nanna land fabricius","denmark, united kingdom, south africa, sweden, belgium",2014,r,92,"dramas, independent movies, international movies","in the old west, a danish homesteader avenges the murder of his wife and son, only to unleash a gang leader s brutal fury.",3
8497,1,the sapphires,wayne blair,"chris o dowd, deborah mailman, jessica mauboy, shari sebbens, miranda tapsell, tory kittles, eka darville, tammy anderson, lynette narkle, kylie belling",australia,2012,pg 13,99,"comedies, dramas, independent movies","sisters gail, cynthia and julie have talent, but their career takes off when promoter dave convinces them to tour for u.s. troops in vietnam.",1
8498,1,the score,frank oz,"robert de niro, edward norton, marlon brando, angela bassett, gary farmer, paul soles, jamie harrold, serge houde","germany, canada, united states",2001,r,124,"dramas, thrillers","ready to retire safecracker nick, flamboyant fence max and talented but volatile thief jackie team up to rob the montreal customs house.",3
8499,1,the sea of trees,gus van sant,"matthew mcconaughey, naomi watts, ken watanabe, katie aselton, jordan gavaris",united states,2015,pg 13,111,dramas,"a brooding american unable to cope with personal crisis travels to suicide forest near mount fuji, where he meets a fellow lost wanderer.",2
8502,1,the seven five,tiller russell,nan,united states,2014,r,104,documentaries,"this riveting film examines the case of mike dowd, a corrupt brooklyn cop who became dirtier than the drug dealers he was supposed to be policing.",2
8503,0,the seventies,nan,nan,united states,2015,tv pg,1,docuseries,"this series examines 1970s america, focusing on the major political and historical landmarks of the decade and the cultural response to those events.",2
8504,1,the shaukeens,abhishek sharma,"akshay kumar, annu kapoor, piyush mishra, lisa haydon, anupam kher",india,2014,tv ma,123,"comedies, international movies, music musicals",three sexually frustrated men in their 60s have the adventure of a lifetime after meeting an intriguing young woman during a holiday in mauritius.,1
8505,1,the show,giancarlo esposito,"josh duhamel, giancarlo esposito, famke janssen, sarah wayne callies, caitlin fitzgerald, chris ellis, lucia walters, james franco",united states,2017,tv ma,105,dramas,a disillusioned reality tv host and an idealistic producer are lured by their network into producing a show in which participants kill themselves.,2
8506,1,the sign of venus,dino risi,"sophia loren, franca valeri, vittorio de sica, raf vallone, virgilio riento, tina pica, lina gennari, eloisa cianni, leopoldo trieste, maurizio arena, franco fantasia, peppino de filippo, alberto sordi",italy,1955,tv 14,97,"classic movies, comedies, independent movies","while suitors swoon over her cousin, a single woman takes initiative in finding herself a partner after receiving a favorable romantic fortune.",1
8507,1,the signal,"william eubank, will eubank","brenton thwaites, olivia cooke, laurence fishburne, beau knapp, lin shaye, robert longstreet",united states,2014,pg 13,97,"sci fi fantasy, thrillers","during their drive across the country, college pals nick and jonah accompanied by nick s girlfriend run into major trouble in the nevada desert.",2
8509,1,the sinking of van der wijck,sunil soraya,"herjunot ali, pevita pearce, reza rahadian, randy nidji, gesya shandy, kevin andrean, arzetti bilbina",indonesia,2013,tv 14,163,"dramas, international movies, romantic movies","when a young man leaves home to fulfill the wishes of his late father, he meets and falls in love with a woman from a very different background.",1
8510,0,the sniffer,nan,"kirill karo, ivan oganesyan, mariya anikanova, nina gogaeva, nikolay chindyaykin, anastasiya makeeva, sergey leskov, stanislav moskvin, aleksey zorin, taras gotovtsev",ukraine,2017,tv ma,3,"crime tv shows, international tv shows, tv dramas","an extraordinary sense of smell gives a crime investigator unique insight into solving mysteries, but his gift takes a toll on his personal life.",1
8511,1,the social network,david fincher,"jesse eisenberg, andrew garfield, justin timberlake, armie hammer, max minghella, josh pence, brenda song, rashida jones, john getz, david selby",united states,2010,pg 13,121,dramas,director david fincher s biographical drama chronicles the meteoric rise of facebook ceo mark zuckerberg from harvard sophomore to internet superstar.,2
8512,1,the space between us,peter chelsom,"gary oldman, asa butterfield, carla gugino, britt robertson, bd wong, janet montgomery, trey tucker",united states,2016,pg 13,120,"action adventure, romantic movies, sci fi fantasy","after years of limited contact with earth, an inquisitive teen who lives on mars makes an interplanetary trek to discover his own origins.",2
8513,1,the spectacular now,james ponsoldt,"miles teller, shailene woodley, brie larson, jennifer jason leigh, mary elizabeth winstead, kyle chandler, dayo okeniyi, bob odenkirk, andre royo, masam holden",united states,2013,r,95,"dramas, independent movies, romantic movies","classmates aimee and sutter form an unlikely friendship, and after helping aimee raise her social confidence, sutter begins falling for his creation.",2
8514,1,the spiral,krzysztof zanussi,"jan nowicki, maja komorowska, zofia kucowna, aleksander bardini, jan swiderski, seweryna broniszowna, piotr garlicki, marian glinka",poland,1978,tv ma,84,"dramas, independent movies, international movies","when an unbearable stranger arrives at a winter mountain resort and vanishes overnight, his dark past comes to light.",1
8516,1,the spy who fell to earth,thomas meadmore,nan,united kingdom,2019,tv ma,94,"documentaries, international movies","based on dr. ahron bregman s book, this documentary examines the life and mysterious death of ashraf marwan, an egyptian billionaire and israeli spy.",2
8517,1,the stanford prison experiment,kyle patrick alvarez,"billy crudup, michael angarano, ezra miller, tye sheridan, keir gilchrist, olivia thirlby, nelsan ellis, thomas mann, moises arias, gaius charles",united states,2015,r,122,"dramas, independent movies, thrillers","conducting a study on the psychology of incarceration, a stanford professor assigns guard and prisoner roles to 24 male test subjects in a mock jail.",2
8518,0,the story of god with morgan freeman,nan,morgan freeman,united states,2017,tv 14,2,docuseries,"host morgan freeman explores religion s role in human history, how our beliefs connect us and possible answers to life s million dollar questions.",2
8519,0,the story of us with morgan freeman,nan,morgan freeman,united states,2017,tv 14,1,docuseries,"explore the forces of love, belief, power, war, peace, rebellion and freedom in this series about the ties that bind and destroy humanity.",2
8520,1,the student,steven r. monroe,"alicia leigh willis, blake michael, trevor st. john, lindsay hartley, eric nelsen, wolfgang bodison",united states,2017,tv 14,90,thrillers,"when a law professor fails an ambitious student for academic dishonesty, he goes to terrifying lengths to seek revenge for more than just his grade.",2
8521,1,the sunshine makers,cosmo feilding mellen,nan,united kingdom,2015,tv ma,91,"documentaries, international movies","take a trip and witness the rise and fall of tim scully and nicholas sand, improbable pioneers of the drug counterculture during the 1960s.",2
8522,1,the super,stephan rick,"patrick john flueger, val kilmer, louisa krause, mattea conforti, taylor richardson, paul ben victor, yul vazquez, andrea lynn green, travaris spears, melissa bolona",united states,2017,r,89,horror movies,"when an ex cop becomes a superintendent of an apartment building, he suspects the sinister janitor is behind the eerie disappearances of its tenants.",2
8524,1,the surrounding game,"will lockhart, cole d. pruitt",nan,united states,2018,tv 14,98,documentaries,"teens in america dedicate themselves to the asian game of go, which originated in ancient china, drawing meaningful life lessons along the way.",2
8525,1,the taking of pelham 123,tony scott,"denzel washington, john travolta, luis guzman, victor gojcaj, robert vataj, john turturro, michael rispoli, ramon rodriguez, james gandolfini, john benjamin hickey, alex kaluzhsky, gbenga akinnagbe","united states, united kingdom",2009,r,106,action adventure,"when a group of hijackers takes passengers aboard a subway train hostage and demand a ransom, it s up to dispatcher walter garber to bring them down.",3
8526,1,the talented mr. ripley,anthony minghella,"matt damon, gwyneth paltrow, jude law, cate blanchett, philip seymour hoffman, jack davenport, james rebhorn, sergio rubini, philip baker hall, celia weston",united states,1999,r,139,"dramas, thrillers","a charming sociopath maneuvers into the lush life of a young heir. but as he embraces the posh lifestyle, he ll stop at nothing to hold onto it.",2
8527,1,the texas chainsaw massacre,tobe hooper,"gunnar hansen, jim siedow, marilyn burns, edwin neal, paul a. partain, teri mcminn, william vail, john dugan, john henry faulk, allen danziger",united states,1974,r,83,"cult movies, horror movies, independent movies","when some friends visit a vandalized graveyard, they come upon a chainsaw wielding maniac, and it s a fight to the bloody death between good and evil.",2
8528,1,the thief and the imbecile,"mohammed el tahawy, mohamed mostafa","khaled el sawy, khaled saleh, ruby",egypt,2013,tv 14,96,"dramas, international movies","a street beggar befriends a man who lost his eye in a brawl, unaware that his new acquaintance is plotting to make him his unwitting organ donor.",1
8529,1,the tiger hunter,lena khan,"danny pudi, jon heder, rizwan manji, karen david, iqbal theba, sam page, kevin pollak, parvesh cheena, michael mcmillian",united states,2016,tv 14,94,"comedies, dramas, independent movies","it s 1979, and engineer sami is excited to leave his indian village for a job in chicago. but he soon runs into problems achieving his american dream.",2
8531,1,the time machine,simon wells,"guy pearce, samantha mumba, jeremy irons, mark addy, sienna guillory, phyllida law, alan young, omero mumba, yancey arias, orlando jones","united states, united arab emirates",2002,pg 13,96,"action adventure, sci fi fantasy","based on the h.g. wells classic, this adventure follows a scientist and inventor who s determined to prove to doubters that time travel is possible.",3
8532,1,the time traveler s wife,robert schwentke,"rachel mcadams, eric bana, arliss howard, ron livingston, stephen tobolowsky, michelle nolden, jane mclean, hailey mccann, tatum mccann, brooklynn proulx, alex ferris",united states,2009,pg 13,107,"dramas, romantic movies, sci fi fantasy","due to a genetic disorder, handsome librarian henry involuntarily zips through time, appearing at various moments in the life of his true love.",2
8533,0,the traffickers,nan,nelufar hedayat,united states,2016,tv ma,1,"crime tv shows, docuseries","in this hard hitting series, journalist nelufar hedayat travels the globe to expose an array of black markets, from guns and gold to human body parts.",2
8534,1,the tribes of palos verdes,"brendan malloy, emmett malloy","jennifer garner, maika monroe, cody fern, justin kirk, noah silver, elisabeth rohm, goran visnjic, joely fisher, milo gibson, alex neustaedter, stevie lynn jones, thomas cocquerel, alicia silverstone",united states,2017,r,104,"dramas, independent movies, sports movies","when a move to an exclusive seaside community sends her mother and twin brother into a downward spiral, teenager medina finds solace in surfing.",2
8535,1,the trigger effect,david koepp,"kyle maclachlan, elisabeth shue, dermot mulroney, richard t. jones, bill smitrovich, michael rooker, tori kristiansen, tyra kristiansen",united states,1996,r,94,thrillers,"when a power failure throws their suburban town into chaos, matthew and his wife stoop to desperate measures to secure medication for their child.",2
8536,1,the trip to spain,michael winterbottom,"steve coogan, rob brydon, marta barrio, claire keelan, margo stilley",united kingdom,2016,tv ma,108,comedies,comedians steve coogan and rob brydon gorge on local delicacies and celebrity impressions as they reunite for a hilarious road trip through spain.,2
8537,1,the trust,"ben brewer, alex brewer","nicolas cage, elijah wood, sky ferreira, jerry lewis, eric heister, alexandria lee, ethan suplee, kenna james, steven williams, carl windom carlito",united states,2015,r,91,thrillers,"discovering the location of a vault where a drug ring keeps its riches, two run of the mill las vegas cops hatch a dicey plan to burgle it.",2
8538,1,the truth about alcohol,david briggs,javid abdelmoneim,united kingdom,2016,tv 14,58,"documentaries, international movies","emergency room doctor javid abdelmoneim endeavors to learn the truth about alcohol, both its benefits and risks, by exploring the science of drinking.",2
8539,0,the tudors,nan,"jonathan rhys meyers, henry cavill, james frain, anthony brophy, guy carleton, sarah bolger, natalie dormer, max brown, nick dunning, rod hallett, maria doyle kennedy, simon ward","ireland, canada, united states, united kingdom",2010,tv ma,4,tv dramas,all the splendor and scandal of england s 16th century royal court comes to life in this series that follows notorious tudor monarch henry viii.,3
8540,1,the tuxedo,kevin donovan,"jackie chan, jennifer love hewitt, jason isaacs, debi mazar, ritchie coster, peter stormare, mia cottet, romany malco, daniel kash",united states,2002,pg 13,99,"action adventure, comedies","after a government spy is hospitalized, new york city cab driver jimmy unwillingly takes over the spy s role with the aid of a computerized tuxedo.",2
8541,0,the twilight zone original series,nan,rod serling,united states,1963,tv 14,4,"classic cult tv, tv sci fi fantasy","hosted by creator rod serling, this groundbreaking anthology series presents tales of the supernatural that are often tinged with social commentary.",2
8542,1,the ugly truth,robert luketic,"katherine heigl, gerard butler, eric winter, john michael higgins, bree turner, nick searcy, kevin connolly, cheryl hines, bonnie somerville, yvette nicole brown, nate corddry, noah matthews",united states,2009,r,96,"comedies, romantic movies",a chauvinistic morning show commentator tries to prove the relationship theories he espouses on a segment called the ugly truth.,2
8543,1,the unborn child,poj arnon,"somchai kemglad, pitchanart sakakorn, chinaradi anupongphichart, arisara thongborisut, peerawit boonark, chudapha chanthakhet, ganthida chaang",thailand,2011,tv ma,93,"horror movies, international movies","a couple and their young daughter are haunted by a paranormal, malicious presence which is soon linked to a temple and a series of abortions.",1
8544,0,the underwear,nan,"thanabordee jaiyen, emika grant emma, tantimedh chisanusha, siribanchawan jidapa, supanut sudjinda",nan,2017,tv ma,1,"international tv shows, tv dramas, teen tv shows",virtual and real worlds collide as a group of teenagers who are grappling with matters of the heart cross paths in a cafe and on an anonymous website.,1
8545,0,the universe,nan,erik thompson,united states,2009,tv 14,1,"docuseries, science nature tv","discover the secrets of the universe in this series that pairs animation with insights on distant planets, black holes and other celestial marvels.",2
8546,1,the unknown girl,"jean pierre dardenne, luc dardenne","adele haenel, olivier bonnaud, jeremie renier, louka minnella, christelle cornil, olivier gourmet, fabrizio rongione, thomas doret","belgium, france",2016,tv ma,106,"dramas, international movies",a guilt ridden doctor in a belgian town tries to uncover the identity of a woman who died after being turned away from her office.,2
8547,1,the unknown known,errol morris,"donald rumsfeld, errol morris",united states,2013,pg 13,103,documentaries,"donald rumsfeld reviews his long political career, from his time in congress to serving as secretary of defense under gerald ford and george w. bush.",2
8548,1,the vatican tapes,mark neveldine,"olivia taylor dudley, michael pena, dougray scott, djimon hounsou, peter andersson, kathleen robertson, john patrick amedori, michael pare, alex sparrow, cas anvar",united states,2015,pg 13,91,"horror movies, thrillers",a young woman hospitalized for an infected wound becomes possessed by a satanic force that will take a priest and two vatican exorcists to defeat.,2
8549,0,the vietnam war a film by ken burns and lynn novick,"ken burns, lynn novick",nan,united states,2017,tv ma,1,docuseries,"ken burns presents an epic 10 part, 18 hour chronicle of the vietnam war, featuring the soldiers, protesters, politicians and families that lived it.",2
8550,1,the walls of the moon,"ossama abu el atta, tarek al eryan","mona zaki, asser yassin, amr saad, salwa mohammed",egypt,2015,tv 14,98,"action adventure, dramas, international movies","after losing her eyesight in an accident, a woman lands in a love triangle as she looks for meaning in her life.",1
8551,0,the war a film by ken burns and lynn novick,nan,keith david,united states,2007,tv 14,1,docuseries,a seven part series brings world war ii to life through the harrowing personal accounts of soldiers and others from typical american towns.,2
8552,1,the water diviner,russell crowe,"russell crowe, olga kurylenko, ylmaz erdogan, cem ylmaz, jai courtney, ryan corr, james fraser, ben o toole, steve bastoni, salih kalyon","australia, united states",2014,r,111,"dramas, international movies","years after the presumed death of his three sons in battle, a grieving farmer journeys to turkey to find them and return them to their homeland.",3
8554,1,the waterboy,frank coraci,"adam sandler, kathy bates, henry winkler, fairuza balk, jerry reed, lawrence gilliard jr., blake clark, peter dante, jonathan loughran, al whiting",united states,1998,pg 13,90,"comedies, sports movies",a water boy for a college football team has a rage that makes him a tackling machine whose bone crushing power might vault his team into the playoffs.,2
8555,1,the wedding curse,chito s. rono,"kris aquino, claudine barretto, boots anson roa, glaiza de castro, jhong hilario, liza lorena, bernard palanca, wendell ramos, maja salvador, ronaldo valdez",philippines,2006,tv pg,101,"horror movies, international movies",two weddings marred by tragedy lead the respective brides to believe that that they ve been cursed by an old cultural superstition.,1
8556,1,the wedding party 2 destination dubai,niyi akinmolayan,"enyinna nwigwe, daniella down, banky wellington, adesua etomi, somkele iyamah, iretiola doyle, sola sobowale, michael de pinna, lynita crofford, patience ozokwor",nigeria,2017,tv 14,98,"comedies, international movies, romantic movies","in this sequel to the 2016 hit the wedding party, a couple s date night ends in an accidental proposal, sparking a series of chaotic family events.",1
8557,0,the west wing,nan,"martin sheen, rob lowe, allison janney, john spencer, bradley whitford, janel moloney, richard schiff, dule hill, nicole robinson, melissa fitzgerald, joshua malina, stockard channing, kim webster, kris murphy, timothy davis reed",united states,2005,tv 14,7,tv dramas,this powerful political epic chronicles the triumphs and travails of white house senior staff under the administration of president josiah bartlet.,2
